DDM,EXP,val,subj_idx,gLen
drift,0,1.652567550624757,10,6
drift,oDel,0.007262240437996824,10,6
drift,cInfo,-0.09650338145704873,10,6
thresh,0,1.1991026444741641,10,6
thresh,oDel,-0.00552437354101408,10,6
thresh,cInfo,0.07876841122421128,10,6
bias,0,0.16552134891322745,10,6
bias,oDel,-5.633904865252472e-4,10,6
bias,cInfo,-0.06663644554411677,10,6
drift,0,1.3924116009488625,10,1
drift,oDel,0.01429969634341177,10,1
drift,cInfo,0.08512179547125089,10,1
thresh,0,1.3049482495283937,10,1
thresh,oDel,-0.00727741910487498,10,1
thresh,cInfo,-0.06950017407742876,10,1
bias,0,0.21207644480341337,10,1
bias,oDel,-0.01757933592037987,10,1
bias,cInfo,-0.05860770031267934,10,1
drift,0,2.24252846229823,12,6
drift,oDel,-0.013092337062356024,12,6
drift,cInfo,0.1499700001401473,12,6
thresh,0,1.1603392465519455,12,6
thresh,oDel,0.017947725250300025,12,6
thresh,cInfo,0.0859692859011792,12,6
bias,0,0.18862292662177282,12,6
bias,oDel,0.03759900665028024,12,6
bias,cInfo,-0.16877161975734106,12,6
drift,0,2.401161996191899,12,1
drift,oDel,-0.006287410015011993,12,1
drift,cInfo,0.187141138909279,12,1
thresh,0,1.0250539718349632,12,1
thresh,oDel,-0.01453164115263231,12,1
thresh,cInfo,0.08407676682092266,12,1
bias,0,0.2091011853462833,12,1
bias,oDel,-0.03617280967369077,12,1
bias,cInfo,-0.049969120300754476,12,1
drift,0,1.5734185399461251,14,6
drift,oDel,0.0016903329182172471,14,6
drift,cInfo,0.1987724809945302,14,6
thresh,0,1.1599898531408992,14,6
thresh,oDel,1.147521019202151e-4,14,6
thresh,cInfo,-0.10351080089470785,14,6
bias,0,0.21627737869088992,14,6
bias,oDel,-2.6791213200520235e-5,14,6
bias,cInfo,-0.21441642066961814,14,6
drift,0,1.8553790661109804,14,1
drift,oDel,-0.007564981482274983,14,1
drift,cInfo,6.615751408239287e-4,14,1
thresh,0,1.2746605932299122,14,1
thresh,oDel,0.006335226495319685,14,1
thresh,cInfo,0.036823789308748224,14,1
bias,0,0.13778944483333155,14,1
bias,oDel,0.004764803716510331,14,1
bias,cInfo,-0.08701981125668919,14,1
drift,0,2.018900478879131,15,6
drift,oDel,-0.008284785401522407,15,6
drift,cInfo,0.3022550012590281,15,6
thresh,0,1.1969062186076092,15,6
thresh,oDel,0.014720706169019594,15,6
thresh,cInfo,0.07142674852394136,15,6
