sID,dR,dI,gameLength,choice,RT
2,-27.000000,0,10,1,0.441003
2,-1.333333,-1,10,1,0.267003
2,14.000000,0,5,2,0.174427
2,25.000000,0,10,2,0.633003
2,-25.666667,1,5,2,1.329427
2,-30.000000,-1,10,2,0.158003
2,-1.666667,1,5,1,0.438427
2,-28.666667,1,5,1,0.916427
2,-7.000000,0,10,1,0.535003
2,-37.666667,1,10,1,1.087003
2,-17.000000,-1,5,1,1.401427
2,-35.500000,0,10,1,0.626003
2,14.500000,0,5,2,0.417427
2,-43.666667,1,10,1,0.509003
2,5.000000,1,5,2,0.594427
2,9.000000,0,10,2,1.583003
2,0.000000,0,10,1,0.924003
2,4.333333,-1,5,2,0.533427
2,23.500000,0,10,1,0.449003
2,-6.666667,1,5,1,0.200427
2,0.000000,0,10,1,0.472003
2,16.000000,1,10,2,0.955003
2,-14.666667,1,5,1,0.763427
2,7.666667,-1,10,1,2.579003
2,-5.000000,-1,5,1,0.309427
2,-10.333333,1,10,2,0.578003
2,8.666667,-1,5,1,0.437427
2,24.666667,1,5,2,0.243427
2,5.000000,0,5,2,0.347427
2,-17.000000,0,5,1,0.365427
2,-9.500000,0,5,1,0.758427
2,11.500000,0,5,2,1.018427
2,-28.000000,-1,10,1,0.600003
2,1.500000,0,10,1,1.831003
2,19.000000,1,10,1,0.298003
2,-30.000000,0,10,1,0.404003
2,10.500000,0,5,1,0.281427
2,1.000000,0,5,2,0.322427
2,4.000000,0,10,1,0.334003
2,0.500000,0,10,2,0.206003
2,-15.500000,0,10,1,1.731003
2,14.500000,0,10,1,0.207003
2,30.000000,0,10,2,0.488003
2,-16.666667,1,5,1,0.320427
2,9.000000,1,10,2,0.939003
2,5.333333,1,10,1,0.371003
2,-37.000000,0,5,1,0.286427
2,0.666667,1,10,1,0.224003
2,27.000000,-1,5,2,0.200427
2,-14.666667,-1,10,1,0.609003
2,10.000000,1,5,2,0.751427
2,9.666667,-1,10,1,0.663003
2,12.000000,-1,5,1,1.059427
2,1.333333,1,10,1,0.361003
2,-12.333333,1,10,1,0.879003
2,0.666667,1,10,1,0.177003
2,13.333333,-1,10,2,0.553003
2,4.000000,0,5,1,0.327427
2,-16.666667,-1,5,2,1.631427
2,-16.500000,0,5,1,0.447427
2,13.500000,0,5,2,1.437427
2,-8.500000,0,5,1,0.541427
2,-5.333333,1,5,2,0.362427
2,39.500000,0,5,2,0.156427
2,-5.000000,0,10,2,0.919003
2,-17.000000,0,5,1,0.751427
2,-4.666667,-1,5,1,0.369427
2,5.000000,0,5,2,0.459427
2,-10.000000,0,5,1,0.759427
2,-21.000000,0,5,1,0.361427
