sID,dR,dI,gameLength,choice,rt
2,-27.000000,0,10,2,0.476003
2,-1.333333,1,10,2,1.343003
2,14.000000,0,5,2,0.351427
2,25.000000,0,10,2,0.597003
2,-25.666667,-1,5,2,0.511427
2,-30.000000,1,10,2,0.731003
2,-1.666667,-1,5,1,0.370427
2,-28.666667,-1,5,1,0.305427
2,-7.000000,0,10,1,0.796003
2,-37.666667,-1,10,1,0.457003
2,-17.000000,1,5,1,0.700427
2,-35.500000,0,10,2,0.676003
2,14.500000,0,5,2,0.625427
2,-43.666667,-1,10,1,0.410003
2,5.000000,-1,5,2,0.445427
2,9.000000,0,10,2,1.533003
2,0.000000,0,10,2,0.954003
2,4.333333,1,5,1,0.571427
2,23.500000,0,10,2,0.232003
2,-6.666667,-1,5,1,0.701427
2,0.000000,0,10,2,0.464003
2,16.000000,-1,10,2,0.256003
2,-14.666667,-1,5,1,0.425427
2,7.666667,1,10,2,0.214003
2,-5.000000,1,5,1,0.371427
2,-10.333333,-1,10,2,0.467003
2,8.666667,1,5,2,1.598427
2,24.666667,-1,5,2,0.463427
2,5.000000,0,5,1,2.075427
2,-17.000000,0,5,1,0.435427
2,-9.500000,0,5,2,0.413427
2,11.500000,0,5,2,0.407427
2,-28.000000,1,10,1,0.384003
2,1.500000,0,10,2,0.777003
2,19.000000,-1,10,2,0.561003
2,-30.000000,0,10,1,0.604003
2,10.500000,0,5,1,0.545427
2,1.000000,0,5,1,0.759427
2,4.000000,0,10,1,0.228003
2,0.500000,0,10,1,0.488003
2,-15.500000,0,10,2,0.580003
2,14.500000,0,10,2,0.360003
2,30.000000,0,10,2,0.465003
2,-16.666667,-1,5,1,0.421427
2,9.000000,-1,10,1,1.095003
2,5.333333,-1,10,1,1.304003
2,-37.000000,0,5,1,0.757427
2,0.666667,-1,10,1,0.334003
2,27.000000,1,5,2,0.454427
2,-14.666667,1,10,1,0.706003
2,10.000000,-1,5,2,0.534427
2,9.666667,1,10,1,0.471003
2,12.000000,1,5,2,0.265427
2,1.333333,-1,10,1,0.779003
2,-12.333333,-1,10,2,0.220003
2,0.666667,-1,10,2,0.788003
2,13.333333,1,10,1,1.102003
2,4.000000,0,5,1,1.189427
2,-16.666667,1,5,1,0.250427
2,-16.500000,0,5,1,1.419427
2,13.500000,0,5,2,0.338427
2,-8.500000,0,5,1,0.433427
2,-5.333333,-1,5,2,1.270427
2,39.500000,0,5,2,0.414427
2,-5.000000,0,10,2,0.193003
2,-17.000000,0,5,1,0.570427
2,-4.666667,1,5,1,0.214427
2,5.000000,0,5,1,0.834427
2,-10.000000,0,5,1,0.564427
2,-21.000000,0,5,1,0.453427
2,-8.000000,0,10,2,1.052003
2,32.000000,0,5,2,0.198427
2,4.333333,-1,10,1,0.285003
2,-9.000000,0,10,2,1.304003
2,-23.000000,0,10,1,0.291003
2,0.500000,0,5,2,1.721427
2,16.666667,1,10,2,0.347003
2,14.000000,0,10,2,1.930003
2,3.500000,0,5,2,0.562427
2,3.333333,-1,5,2,0.347427
2,9.666667,-1,5,2,0.243427
2,6.000000,-1,10,2,0.231003
2,23.666667,1,10,2,0.719003
2,6.000000,0,5,2,1.138427
2,-20.000000,0,5,1,0.437427
2,-18.000000,0,5,1,0.372427
2,-40.666667,1,10,1,0.612003
2,-7.000000,0,10,1,0.748003
2,21.666667,1,10,2,0.292003
2,11.500000,0,10,1,0.207003
2,15.333333,-1,10,1,0.318003
2,29.000000,0,5,2,0.562427
2,-41.000000,1,5,1,0.166427
2,18.000000,0,10,2,0.965003
2,32.666667,-1,5,2,0.234427
2,-25.500000,0,5,1,0.210427
2,-3.333333,1,5,1,0.429427
2,24.500000,0,5,2,0.306427
2,-22.000000,0,5,1,0.259427
2,-18.000000,1,10,1,0.496003
2,-24.666667,1,10,1,0.496003
2,6.500000,0,5,1,1.548427
2,-18.000000,0,10,1,0.380003
2,27.333333,-1,10,2,1.663003
2,-25.333333,1,5,1,0.163427
2,-1.500000,0,10,1,1.519003
2,27.000000,0,10,2,0.529003
2,-16.666667,-1,5,1,0.702427
2,-3.000000,0,5,2,0.217427
2,20.000000,-1,10,2,0.651003
2,25.666667,-1,5,2,0.863427
2,-7.000000,-1,10,1,0.841003
2,-17.500000,0,5,2,0.323427
2,-8.000000,1,10,1,1.611003
2,5.000000,0,10,2,0.337003
2,7.666667,-1,5,2,0.327427
2,7.333333,-1,5,2,0.416427
2,-7.000000,0,10,1,0.331003
2,8.000000,0,5,2,0.678427
2,-17.666667,-1,5,1,0.343427
2,-15.000000,0,10,2,0.472003
2,-19.000000,0,10,2,1.850003
2,0.666667,1,5,2,3.468427
2,-19.333333,-1,10,1,0.335003
2,2.333333,1,5,2,1.055427
2,-20.500000,0,10,2,0.393003
2,-9.500000,0,5,2,0.712427
2,-14.666667,1,10,1,0.529003
2,29.500000,0,5,2,0.293427
2,6.500000,0,10,2,0.961003
2,-1.000000,0,10,2,0.711003
2,-23.000000,0,10,1,0.825003
2,-36.000000,0,5,1,0.184427
2,-26.500000,0,5,1,0.390427
2,-10.000000,-1,10,1,0.564003
2,29.333333,1,10,2,0.539003
2,22.500000,0,5,2,0.700427
2,2.666667,1,5,1,0.263427
2,-3.000000,0,5,2,0.614427
2,-10.000000,0,10,1,1.421003
2,-7.000000,0,5,1,0.242427
2,-1.333333,1,10,2,0.447003
2,-11.500000,0,5,1,0.251427
2,-6.500000,0,5,1,0.833427
2,0.500000,0,10,2,0.258003
2,-11.000000,0,5,1,0.944427
2,-20.500000,0,5,1,0.214427
2,-25.500000,0,10,1,1.219003
2,-16.500000,0,10,1,0.162003
2,-6.666667,-1,10,1,0.936003
2,26.666667,1,10,2,0.259003
2,-31.000000,0,5,2,0.469427
2,27.333333,1,5,2,0.187427
2,-2.666667,1,10,1,0.358003
2,-8.500000,0,5,1,0.617427
2,21.333333,-1,5,1,0.353427
2,22.000000,1,10,2,0.662003
2,-15.000000,-1,10,1,0.592003
2,-29.000000,0,5,1,0.218427
2,-19.500000,0,5,1,0.356427
2,-8.500000,0,5,1,0.648427
2,-6.500000,0,5,2,0.542427
2,-38.666667,1,5,1,0.190427
2,15.000000,0,10,2,0.952003
2,26.500000,0,10,2,0.346003
2,-11.333333,-1,10,2,0.238003
2,0.000000,1,10,2,1.481003
2,-31.666667,1,10,1,0.462003
2,-0.666667,1,10,1,0.701003
2,-11.500000,0,10,2,0.235003
2,23.333333,-1,5,2,0.265427
2,12.500000,0,5,2,0.391427
2,-29.500000,0,10,2,0.455003
2,23.500000,0,10,1,0.315003
2,12.000000,0,5,1,1.068427
2,-14.000000,-1,5,1,0.351427
2,30.666667,-1,10,2,0.460003
2,-26.000000,-1,10,1,0.347003
2,-9.500000,0,10,1,1.043003
2,-16.000000,1,10,2,0.222003
2,33.500000,0,5,2,0.248427
2,-21.333333,-1,10,1,0.475003
2,12.666667,-1,10,2,0.683003
2,5.500000,0,5,1,0.472427
2,2.000000,0,5,2,0.371427
2,-33.666667,1,5,1,0.542427
2,-14.000000,-1,5,1,0.612427
2,22.000000,0,10,2,0.447003
2,36.333333,1,10,2,0.286003
2,7.666667,-1,5,2,0.822427
2,-1.500000,0,5,2,0.808427
2,4.666667,-1,10,1,0.785003
2,15.666667,-1,10,2,0.871003
2,-16.333333,-1,10,1,0.592003
2,12.333333,1,10,2,0.429003
2,-17.333333,1,5,1,0.227427
2,23.000000,-1,10,2,0.383003
2,5.000000,-1,10,2,0.794003
2,-16.666667,1,10,1,0.471003
2,-16.333333,-1,5,1,0.396427
2,-8.333333,-1,10,2,0.319003
