Subject,Horizon,dR,dI,rt,x0,z,A,T0
1,1,44.66666667,-1,0.6,0.155596486,0.997517505,0.858008022,0.016273834
1,6,10,-1,0.83,-0.150648925,0.579348609,0.412736232,0.064435515
1,6,-11,0,0.28,-0.069793156,0.66351446,-0.304997354,0.064435515
1,6,-4.5,0,1.68,-0.062615254,0.655119781,-0.200619417,0.064435515
1,6,26.5,0,0.4,-0.02830579,0.615083618,0.29718305,0.064435515
1,6,-9,1,0.93,0.037483826,0.717976061,-0.653393626,0.064435515
1,1,-17,-1,0.17,-0.145458197,0.823348006,-0.322910992,0.016273834
1,1,27.5,0,0.36,0.108908479,0.883462792,0.478427423,0.016273834
1,6,-35.5,0,0.47,-0.096777359,0.695155943,-0.698421884,0.064435515
1,6,28,0,0.33,-0.026643308,0.613146384,0.321270266,0.064435515
1,6,14,0,0.99,-0.042152846,0.631227232,0.096456248,0.064435515
1,6,20.33333333,-1,0.16,-0.139428851,0.566003222,0.578670387,0.064435515
1,1,-12.5,0,1.11,-0.087214948,0.770487981,-0.2875741,0.016273834
1,6,-2.5,0,0.76,-0.06040533,0.652536802,-0.168503129,0.064435515
1,6,-27.5,0,0.15,-0.08797987,0.68482403,-0.569956732,0.064435515
1,6,-31.5,0,0.11,-0.092380418,0.689989986,-0.634189308,0.064435515
1,6,1.666666667,-1,0.41,-0.159669328,0.590111019,0.278918364,0.064435515
1,6,14.5,0,0.62,-0.041599239,0.630581487,0.10448532,0.064435515
1,1,2.666666667,1,1.3,0.024092908,0.747754573,-0.047970136,0.016273834
1,6,1,-1,0.19,-0.16038983,0.590972011,0.268212935,0.064435515
1,1,14.66666667,-1,0.86,0.009286017,0.912786397,0.28350688,0.016273834
1,1,-22,-1,0.42,-0.169444512,0.809226155,-0.418661182,0.016273834
1,1,1.333333333,1,0.33,0.017536464,0.743988746,-0.07350352,0.016273834
1,6,-16.5,0,0.24,-0.075861155,0.67061765,-0.393317147,0.064435515
1,1,-1,0,0.74,-0.030853264,0.802968239,-0.067348663,0.016273834
1,6,27.5,0,0.14,-0.027197486,0.613792129,0.313241194,0.064435515
1,6,10.5,0,0.69,-0.046027351,0.635747444,0.040252744,0.064435515
1,1,25,0,0.97,0.096739966,0.876401866,0.430552327,0.016273834
1,1,0.666666667,-1,0.35,-0.059516034,0.873245214,0.015406347,0.016273834
1,6,-16.5,0,1.53,-0.075861155,0.67061765,-0.393317147,0.064435515
1,1,-15,-1,0.7,-0.135813917,0.828996746,-0.284610916,0.016273834
1,6,-8.333333333,1,0.55,0.038222206,0.717115068,-0.642688196,0.064435515
1,6,10.5,0,0.25,-0.046027351,0.635747444,0.040252744,0.064435515
1,6,11,1,0.66,0.059613804,0.692146278,-0.332230744,0.064435515
1,6,-35.33333333,-1,0.19,-0.199379451,0.637896116,-0.315232967,0.064435515
1,6,38,0,0.17,-0.015556772,0.600231493,0.481851707,0.064435515
1,1,14,1,0.73,0.079682406,0.779764103,0.169063629,0.016273834
1,1,-23.33333333,1,0.46,-0.103437653,0.674320946,-0.545871126,0.016273834
1,6,10,0,0.25,-0.046580741,0.636393188,0.032223672,0.064435515
1,6,-2.333333333,1,0.27,0.044865649,0.709366133,-0.546339332,0.064435515
1,1,6,-1,0.82,-0.033336864,0.888308522,0.117539884,0.016273834
1,1,-22.5,0,0.2,-0.135787982,0.742244279,-0.479074481,0.016273834
1,1,10.33333333,-1,0.24,-0.012030888,0.90054746,0.200523382,0.016273834
1,6,16.33333333,-1,0.79,-0.143776518,0.571169178,0.514437811,0.064435515
1,1,40,1,0.08,0.204819743,0.853197729,0.666964619,0.016273834
1,6,-25.5,0,0.38,-0.085778297,0.682241052,-0.537840443,0.064435515
1,1,-23,0,0.5,-0.138201558,0.740832094,-0.4886495,0.016273834
1,6,-12.66666667,-1,0.36,-0.175121439,0.608622362,0.048751632,0.064435515
1,1,10.5,0,5.87,0.025705313,0.835448497,0.152876775,0.016273834
1,1,25.5,0,0.44,0.099176102,0.877814051,0.440127346,0.016273834
1,6,-6.5,0,0.43,-0.064824564,0.657702759,-0.232735706,0.064435515
1,6,-20,-1,0.12,-0.182994438,0.618093283,-0.069008091,0.064435515
1,1,-19.33333333,-1,0.7,-0.156674897,0.816757809,-0.367594414,0.016273834
1,6,-15.33333333,1,0.72,0.030467291,0.726155492,-0.755095205,0.064435515
1,6,-20.33333333,1,1.4,0.024925765,0.732612937,-0.835385925,0.064435515
