param,val,subj_idx,gLen
t,0.05256861001704959,10,6
t,0.04865669721718048,10,1
t,0.053998159615826755,12,6
t,0.04961510781673239,12,1
t,0.04171336365107191,14,6
t,0.03677770026255804,14,1
t,0.07772388452743341,15,6
t,0.0811186289215677,15,1
t,0.02977127020509741,16,6
t,0.04504558070908354,16,1
t,0.09337955663050354,18,6
t,0.07545705785965034,18,1
t,0.03408095591117422,19,6
t,0.03025593836349624,19,1
t,0.05647411450462647,20,6
t,0.033169532959979195,20,1
t,0.025753046889106294,22,6
t,0.03412543813906245,22,1
t,0.05621530015308766,23,6
t,0.06786850144732633,23,1
t,0.15125327516354084,25,6
t,0.09199895153587934,25,1
t,0.0642387223463841,26,6
t,0.05255458280028523,26,1
t,0.07171964674123979,27,6
t,0.047642284637370066,27,1
t,0.1067427779315926,28,6
t,0.11009405800512638,28,1
t,0.11000257250187201,2,6
t,0.13742667983550352,2,1
t,0.05132128007618659,30,6
t,0.039558976843455516,30,1
t,0.1239068837846767,31,6
t,0.06602529521669255,31,1
t,0.05131971422432557,39,6
t,0.04432758587137528,39,1
t,0.04089851402593876,3,6
t,0.03940732294954895,3,1
t,0.09910686658542399,40,6
t,0.09138999872741703,40,1
t,0.048213121819608816,41,6
t,0.03312912838661712,41,1
t,0.21739481418025683,42,6
t,0.1890278586740758,42,1
t,0.029834718487435085,43,6
t,0.058352864321996524,43,1
t,0.060112949190845914,45,6
t,0.07725943433045601,45,1
t,0.07066721592288382,46,6
t,0.08358887164404932,46,1
t,0.07775201099447296,48,6
t,0.03877566732287122,48,1
t,0.0972764289826651,49,6
t,0.06099721323618952,49,1
t,0.08396776618238704,50,6
t,0.09713160946949169,50,1
t,0.06571534726591716,51,6
t,0.05585859649713742,51,1
t,0.03245835610711948,52,6
t,0.04471074752520984,52,1
t,0.05338302345080463,53,6
t,0.06330138728845174,53,1
t,0.06154638894341388,54,6
t,0.04026533886978002,54,1
t,0.05416885453444811,55,6
t,0.0461248573048896,55,1
t,0.04609237754373511,57,6
t,0.050684896375735686,57,1
t,0.10785396674488724,58,6
t,0.06457840291576665,58,1
t,0.057236746954322536,59,6
t,0.07884461233257813,59,1
t,0.06280732876402095,60,6
t,0.05429715491360232,60,1
t,0.05149509232630326,62,6
t,0.04422136991896442,62,1
t,0.0528599133075761,63,6
t,0.05375998097735834,63,1
t,0.03207839507903302,64,6
t,0.04512404802150844,64,1
t,0.06519907175303583,65,6
t,0.07450378976732312,65,1
t,0.06493390207221887,66,6
t,0.05383102569555807,66,1
t,0.040051449408709014,67,6
t,0.05858611172415888,67,1
t,0.0461019051440341,7,6
t,0.038907337533991004,7,1
t,0.0659387820997007,8,6
t,0.05670713437558502,8,1
t,0.10355657007212858,9,6
t,0.058395666270849564,9,1
