param,val,subj_idx,gLen
t,0.06663498290235972,101,6
t,0.07563512581878808,101,1
t,0.1065426015960917,102,6
t,0.0953597130884793,102,1
t,0.06292668714538353,103,6
t,0.05030835505897215,103,1
t,0.0859078662832139,104,6
t,0.06198383475232529,104,1
t,0.08628828078783299,105,6
t,0.029396233535842396,105,1
t,0.06590716656471814,108,6
t,0.0561659103659808,108,1
t,0.1294080034325979,109,6
t,0.13748104353200624,109,1
t,0.05246127896103138,10,6
t,0.048418032346409234,10,1
t,0.051011044874218515,110,6
t,0.07189847319914734,110,1
t,0.12302473869398904,111,6
t,0.06875268980610673,111,1
t,0.05694751464059296,112,6
t,0.0642622901252546,112,1
t,0.051571856713567614,113,6
t,0.04957728364411973,113,1
t,0.06724771969680518,114,6
t,0.04647813138222634,114,1
t,0.04834393610655954,115,6
t,0.08294410030380563,115,1
t,0.027360513469479444,116,6
t,0.03643202109171853,116,1
t,0.06837382949228225,117,6
t,0.03501904577277847,117,1
t,0.08140765336085962,119,6
t,0.056660176737751186,119,1
t,0.0666969588448665,11,6
t,0.03862788414123892,11,1
t,0.0680558265720754,120,6
t,0.05822486346731911,120,1
t,0.049304728460245466,121,6
t,0.04101750070311966,121,1
t,0.0675850389741077,122,6
t,0.04933972869752013,122,1
t,0.16429710750657098,123,6
t,0.09123007328856013,123,1
t,0.0787027288376283,124,6
t,0.08246886117549204,124,1
t,0.04107404074020685,125,6
t,0.09781617676251238,125,1
t,0.06547451307754819,127,6
t,0.06984840292887301,127,1
t,0.04856707925659508,128,6
t,0.057897472160507994,128,1
t,0.08238798975495934,129,6
t,0.06696334250509607,129,1
t,0.05416640636476715,12,6
t,0.05005210991524581,12,1
t,0.08866555584431879,131,6
t,0.07472742883911893,131,1
t,0.11616246087573753,132,6
t,0.0811845548752954,132,1
t,0.12899399067217507,133,6
t,0.06824497665525482,133,1
t,0.09742643050676099,134,6
t,0.08926630048328646,134,1
t,0.13038598865589712,135,6
t,0.07885000996216522,135,1
t,0.1073958697105788,138,6
t,0.05983779200029058,138,1
t,0.06694736557895674,13,6
t,0.0610320992505834,13,1
t,0.11618741893304084,140,6
t,0.20789759532273527,140,1
t,0.14195865679082725,142,6
t,0.050007368737830876,142,1
t,0.1278673272714576,143,6
t,0.05945859785291197,143,1
t,0.14974193881869102,144,6
t,0.10438512192939374,144,1
t,0.09145126636793001,146,6
t,0.043111025670021084,146,1
t,0.13700007543931597,147,6
t,0.07696815905219728,147,1
t,0.046470010480275326,148,6
t,0.05520843776384997,148,1
t,0.05949197241993245,149,6
t,0.040147989985713846,149,1
t,0.04188138175879496,14,6
t,0.0366980183449504,14,1
t,0.043008311139966136,150,6
t,0.04175236133736027,150,1
t,0.06918545996133936,151,6
t,0.0512736252280727,151,1
t,0.09230176795476443,154,6
t,0.05226278346460249,154,1
t,0.041823324231139096,156,6
t,0.043193650788775226,156,1
t,0.07389530222388602,157,6
t,0.07116240966232704,157,1
t,0.053049241909715855,158,6
t,0.05138644651890782,158,1
t,0.05175004203343279,159,6
t,0.07201463855234347,159,1
t,0.07786671770528833,15,6
t,0.08134760826003082,15,1
t,0.08338708691952133,160,6
t,0.04294629560384817,160,1
t,0.05830980015271969,161,6
t,0.03848937023667864,161,1
t,0.09106812807586707,162,6
t,0.09431229440578277,162,1
t,0.038054322390055295,164,6
t,0.10126279127745991,164,1
t,0.06134609758043905,165,6
t,0.05458047054124314,165,1
t,0.05114902073941041,167,6
t,0.06449744006638017,167,1
t,0.17291628503301562,168,6
t,0.06568733101064696,168,1
t,0.08081208157138313,169,6
t,0.03564067617738989,169,1
t,0.029695756361557326,16,6
t,0.044786341949063675,16,1
t,0.07604091731630717,170,6
t,0.08649657783809106,170,1
t,0.13991433859615152,171,6
t,0.09763536615206464,171,1
t,0.0775999276289072,172,6
t,0.048595432993408426,172,1
t,0.04894659423424241,173,6
t,0.05080919368571849,173,1
t,0.13782131002273573,174,6
t,0.06267261664209452,174,1
t,0.06499204252577469,176,6
t,0.04283944168076159,176,1
t,0.06894871639373884,177,6
t,0.07866974733369012,177,1
t,0.06070427086774904,178,6
t,0.02971666490975384,178,1
t,0.14534380274684638,179,6
t,0.05284012200277154,179,1
t,0.02893328563847322,17,6
t,0.035314320202353415,17,1
t,0.07514348439090315,180,6
t,0.05295233052507709,180,1
t,0.10510416454859196,181,6
t,0.040215262164179,181,1
t,0.09509789348150244,182,6
t,0.08306122900187304,182,1
t,0.0809141984490044,183,6
t,0.104896469429217,183,1
t,0.03327398803878523,184,6
t,0.04184390735268537,184,1
t,0.14091849224468478,185,6
t,0.06977859231513008,185,1
t,0.049408165096959125,186,6
t,0.04289281536966286,186,1
t,0.09096637661268675,187,6
t,0.057298494474569465,187,1
t,0.0910777292738726,188,6
t,0.06865112209535937,188,1
t,0.09345660233090411,18,6
t,0.07534188733622885,18,1
t,0.06387317119811226,193,6
t,0.055516120597669034,193,1
t,0.06768706097972148,194,6
t,0.08635410450365306,194,1
t,0.09190006877670852,195,6
t,0.09305538607793717,195,1
t,0.06260606123832108,196,6
t,0.06218551998559017,196,1
t,0.08049442825634887,197,6
t,0.08613701956617908,197,1
t,0.06213533881481799,198,6
t,0.08766331649037161,198,1
t,0.033822521166639453,19,6
t,0.030386829027301207,19,1
t,0.08010707387065273,1,6
t,0.03984261482678173,1,1
t,0.04238792541712256,200,6
t,0.03854412099568357,200,1
t,0.04842022625680148,201,6
t,0.036191178401893453,201,1
t,0.07849119432074408,202,6
t,0.059678618256924325,202,1
t,0.05671507077078388,20,6
t,0.03282680523631194,20,1
t,0.08246616364644195,21,6
t,0.02403116992453345,21,1
t,0.025553949670993826,22,6
t,0.03387493035135289,22,1
t,0.055669593392936326,23,6
t,0.06814773882309064,23,1
t,0.06341028349745134,24,6
t,0.036695339920940276,24,1
t,0.15116996524696155,25,6
t,0.09193433040211486,25,1
t,0.06434592812169143,26,6
t,0.052145379660492305,26,1
t,0.07151797941674477,27,6
t,0.04743298791277764,27,1
t,0.10755874260692895,28,6
t,0.11132643467527063,28,1
t,0.06559698061940838,296,6
t,0.04171627969242469,296,1
t,0.07145146536708857,297,6
t,0.08308635787211684,297,1
t,0.04575511874018672,298,6
t,0.0797164705086573,298,1
t,0.07560806882435038,299,6
t,0.052470175723124075,299,1
t,0.0476467800475139,29,6
t,0.048131025760297264,29,1
t,0.1100180603086924,2,6
t,0.13750878706472508,2,1
t,0.17432057094829467,300,6
t,0.07678634890096642,300,1
t,0.08713760384545949,301,6
t,0.08726711446629089,301,1
t,0.08285785278187731,302,6
t,0.06145576354984851,302,1
