DDM,EXP,val,subj_idx,gLen
drift,0,-0.4930492544103303,10,6
drift,oDel,0.026723308524940936,10,6
drift,cInfo,-0.2639829644528388,10,6
thresh,0,0.8806519695317125,10,6
thresh,oDel,4.892963007484968e-4,10,6
thresh,cInfo,0.12465357368224891,10,6
bias,0,-0.02283860202746474,10,6
bias,oDel,0.007310080713943683,10,6
bias,cInfo,-0.012105073543010646,10,6
drift,0,-0.16715860465580037,10,1
drift,oDel,0.041191115764702954,10,1
drift,cInfo,-0.17381239478973062,10,1
thresh,0,1.0345584686461855,10,1
thresh,oDel,-6.574458759514549e-4,10,1
thresh,cInfo,-0.035146800482566076,10,1
bias,0,-0.10616015534610757,10,1
bias,oDel,0.005383948565069422,10,1
bias,cInfo,-0.13317548109656568,10,1
drift,0,-0.4167275623025859,12,6
drift,oDel,0.07218599206600179,12,6
drift,cInfo,-0.3009940538321533,12,6
thresh,0,0.7224467664032201,12,6
thresh,oDel,6.073222104231549e-4,12,6
thresh,cInfo,0.05452127431205463,12,6
bias,0,0.08759884305135368,12,6
bias,oDel,0.021222112516049437,12,6
bias,cInfo,0.10212534722855605,12,6
drift,0,-0.048500346203217574,12,1
drift,oDel,0.11422166017446607,12,1
drift,cInfo,0.6706555354425457,12,1
thresh,0,0.7995631053895962,12,1
thresh,oDel,0.0014450611145206645,12,1
thresh,cInfo,0.03256599868331322,12,1
bias,0,0.035524207975530464,12,1
bias,oDel,0.021903004243618872,12,1
bias,cInfo,-0.07076720516467269,12,1
drift,0,-0.09322787490823962,14,6
drift,oDel,0.04349023483755335,14,6
drift,cInfo,-0.10412881341150833,14,6
thresh,0,0.8723707714241674,14,6
thresh,oDel,-3.839566158963433e-4,14,6
thresh,cInfo,0.0030835917622399887,14,6
bias,0,-0.07836118218369431,14,6
bias,oDel,-0.013623748544807102,14,6
bias,cInfo,0.32426497401799576,14,6
drift,0,0.029277155570017834,14,1
drift,oDel,0.04972554724443532,14,1
drift,cInfo,0.13799548218211952,14,1
thresh,0,0.9408425891579354,14,1
thresh,oDel,-0.0036147981101863937,14,1
thresh,cInfo,-0.003299873201971411,14,1
bias,0,0.09841618554828091,14,1
bias,oDel,0.001679341022635273,14,1
bias,cInfo,-0.09937749884464764,14,1
drift,0,0.016682308796209074,15,6
drift,oDel,0.10554659724615151,15,6
drift,cInfo,-0.33521540776595515,15,6
thresh,0,0.8259498095949155,15,6
thresh,oDel,0.0018319165745569906,15,6
thresh,cInfo,-0.026064038965544527,15,6
bias,0,-0.027007482871293453,15,6
bias,oDel,0.0021046495734494425,15,6
bias,cInfo,0.08334308338591419,15,6
drift,0,-0.16730435082962886,15,1
drift,oDel,0.13331265522688895,15,1
drift,cInfo,0.4362394312444099,15,1
thresh,0,0.7888843367888738,15,1
thresh,oDel,-0.0018431083075645084,15,1
thresh,cInfo,0.006373004968504469,15,1
bias,0,0.024676259742886897,15,1
bias,oDel,0.0037137973953818657,15,1
bias,cInfo,-0.10445754739511495,15,1
drift,0,-0.07988401036593175,16,6
drift,oDel,0.02923227950067775,16,6
drift,cInfo,-0.09643671586559187,16,6
thresh,0,0.9218863755033812,16,6
thresh,oDel,-0.0016503296274977732,16,6
thresh,cInfo,-0.01091387629841687,16,6
bias,0,-0.006824600718918883,16,6
bias,oDel,-0.004156416825108735,16,6
bias,cInfo,0.09469964085684963,16,6
drift,0,-0.08887354380400282,16,1
drift,oDel,0.04799552280053963,16,1
drift,cInfo,-0.009179938085548444,16,1
thresh,0,0.8073349676830661,16,1
thresh,oDel,-0.002935652133837261,16,1
thresh,cInfo,0.002975000655173199,16,1
bias,0,-0.007482030575006626,16,1
bias,oDel,0.010449989564086732,16,1
bias,cInfo,0.03695214821593856,16,1
drift,0,0.19431717266581916,18,6
drift,oDel,0.025589712852372014,18,6
drift,cInfo,-0.5131902727766009,18,6
thresh,0,0.673540280893756,18,6
thresh,oDel,3.161845105090933e-4,18,6
thresh,cInfo,-0.025813831518016573,18,6
bias,0,0.09306709216428355,18,6
bias,oDel,0.017899624517601753,18,6
bias,cInfo,0.152183710494613,18,6
drift,0,0.075501612310383,18,1
drift,oDel,0.08273639779171679,18,1
drift,cInfo,0.5147198316048975,18,1
thresh,0,0.8024599320089263,18,1
thresh,oDel,-0.001701201489202266,18,1
thresh,cInfo,-0.06540443140829397,18,1
bias,0,0.051801857626659675,18,1
bias,oDel,0.01755611309849078,18,1
bias,cInfo,-0.3075676304753742,18,1
drift,0,-0.1312651519025038,19,6
drift,oDel,0.04133467971118301,19,6
drift,cInfo,-0.24215534123475996,19,6
thresh,0,1.0012853941537698,19,6
thresh,oDel,0.0013127692302213542,19,6
thresh,cInfo,0.015431357234074922,19,6
bias,0,-0.1042148165445595,19,6
bias,oDel,0.01071992254017085,19,6
bias,cInfo,-0.24405712378266797,19,6
drift,0,0.11210217576990864,19,1
drift,oDel,0.07359526815928528,19,1
