DDM,EXP,val,subj_idx,gLen
drift,0,-0.26745700248186544,101,6
drift,oDel,0.023511242518515593,101,6
drift,cInfo,-0.2962427370644061,101,6
thresh,0,0.8565726412248009,101,6
thresh,oDel,-0.0036830905170833804,101,6
thresh,cInfo,-0.05851958077742009,101,6
bias,0,0.07271932050362695,101,6
bias,oDel,0.014866086898132895,101,6
bias,cInfo,0.18455436926496596,101,6
drift,0,0.12754803311418775,101,1
drift,oDel,0.031824925309167446,101,1
drift,cInfo,0.07971441136867774,101,1
thresh,0,1.1100104232028374,101,1
thresh,oDel,0.008428510175245832,101,1
thresh,cInfo,-0.0022177603310214304,101,1
bias,0,0.14061164735726295,101,1
bias,oDel,0.024179240878119172,101,1
bias,cInfo,0.11347886891408777,101,1
drift,0,-0.1722252990388399,102,6
drift,oDel,0.0627611439062042,102,6
drift,cInfo,0.07692915232373791,102,6
thresh,0,1.0565352176356542,102,6
thresh,oDel,3.460620234587795e-4,102,6
thresh,cInfo,-0.09351776521506311,102,6
bias,0,-0.006864459373611298,102,6
bias,oDel,-0.009666590283421728,102,6
bias,cInfo,-0.11748741002342093,102,6
drift,0,-0.02705719300263654,102,1
drift,oDel,0.06535927556169717,102,1
drift,cInfo,0.1911296833760314,102,1
thresh,0,1.2247621187532869,102,1
thresh,oDel,-7.8632850607704e-4,102,1
thresh,cInfo,0.009610669103522016,102,1
bias,0,0.05546108670342298,102,1
bias,oDel,0.016805463763286115,102,1
bias,cInfo,0.16660194171713535,102,1
drift,0,-0.09032370772036406,103,6
drift,oDel,0.029022583062342996,103,6
drift,cInfo,-0.5206398326033248,103,6
thresh,0,0.8331585424971518,103,6
thresh,oDel,0.0017251489197868315,103,6
thresh,cInfo,0.06731704267863488,103,6
bias,0,0.10536359577197396,103,6
bias,oDel,-0.0036081419675594753,103,6
bias,cInfo,-0.05363908959815214,103,6
drift,0,-0.16637893288282626,103,1
drift,oDel,0.0312686800537936,103,1
drift,cInfo,-0.06830332606265764,103,1
thresh,0,0.9338788689663405,103,1
thresh,oDel,-0.0019229939866279209,103,1
thresh,cInfo,-0.031713994480752294,103,1
bias,0,-0.07382587804264695,103,1
bias,oDel,0.014214500944938055,103,1
bias,cInfo,0.21663229211000518,103,1
drift,0,-0.14776735380632705,104,6
drift,oDel,0.0345669608033194,104,6
drift,cInfo,0.008588092124071769,104,6
thresh,0,1.1238865002992393,104,6
thresh,oDel,0.0012210717511666126,104,6
thresh,cInfo,0.05742768314583888,104,6
bias,0,0.06962849247479097,104,6
bias,oDel,-0.010546019456821223,104,6
bias,cInfo,-0.38481350652786833,104,6
drift,0,0.11865242833899937,104,1
drift,oDel,0.038854406427139415,104,1
drift,cInfo,0.10558539513564566,104,1
thresh,0,1.0905891929700844,104,1
thresh,oDel,-5.5270310758214e-4,104,1
thresh,cInfo,-0.14195782145075442,104,1
bias,0,0.10860840815459838,104,1
bias,oDel,0.018740425342058175,104,1
bias,cInfo,-0.12349330776346486,104,1
drift,0,-0.3847355057261406,105,6
drift,oDel,0.03429294779346809,105,6
drift,cInfo,0.14456175076987834,105,6
thresh,0,0.9594319215750483,105,6
thresh,oDel,0.0016769511432181234,105,6
thresh,cInfo,-0.05118169919062189,105,6
bias,0,-0.05429057681917954,105,6
bias,oDel,-8.589025113506663e-4,105,6
bias,cInfo,0.04176704511941444,105,6
drift,0,0.1731066677484063,105,1
drift,oDel,0.09674816893233808,105,1
drift,cInfo,0.91906361687606,105,1
thresh,0,0.9534482539038056,105,1
thresh,oDel,0.005357275330013474,105,1
thresh,cInfo,-0.03836772591900067,105,1
bias,0,0.08887312063751651,105,1
bias,oDel,-0.0017802975817874172,105,1
bias,cInfo,-0.17402171850468096,105,1
drift,0,-0.07355985645739446,108,6
drift,oDel,0.02685573413001188,108,6
drift,cInfo,-0.42649209992514464,108,6
thresh,0,0.9731431135983488,108,6
thresh,oDel,0.002686149829420569,108,6
thresh,cInfo,-0.015039264371915224,108,6
bias,0,-0.126102622345727,108,6
bias,oDel,-0.014536965894875948,108,6
bias,cInfo,0.07569434401558306,108,6
drift,0,-0.006171561161202972,108,1
drift,oDel,0.051828015953988546,108,1
drift,cInfo,0.03915394744181388,108,1
thresh,0,1.1872642163713374,108,1
thresh,oDel,-0.0027967294604935313,108,1
thresh,cInfo,-0.24931106631371838,108,1
bias,0,0.09275883169416499,108,1
bias,oDel,0.006351589506428745,108,1
bias,cInfo,-0.2626175306617116,108,1
drift,0,-0.040996824337582165,109,6
drift,oDel,0.021847777116533164,109,6
drift,cInfo,-0.19247921879073895,109,6
thresh,0,1.065594678487898,109,6
thresh,oDel,0.004029576237536094,109,6
thresh,cInfo,0.056748833318304694,109,6
bias,0,0.10719697518379045,109,6
bias,oDel,0.01925156477949058,109,6
bias,cInfo,-0.0466358666216561,109,6
drift,0,0.21457720683230563,109,1
drift,oDel,0.036455458308920725,109,1
drift,cInfo,-0.1303001978880919,109,1
thresh,0,1.0571626621486891,109,1
thresh,oDel,-0.0014214826891083962,109,1
thresh,cInfo,-0.01732449851388266,109,1
bias,0,0.06777772439916951,109,1
bias,oDel,0.02326262594710605,109,1
bias,cInfo,0.40748873007130876,109,1
drift,0,-0.49579193279222644,10,6
drift,oDel,0.02679488256951342,10,6
drift,cInfo,-0.26140098637309545,10,6
thresh,0,0.8802384054800262,10,6
thresh,oDel,4.85741791186914e-4,10,6
thresh,cInfo,0.12375540103889751,10,6
bias,0,-0.020974934402376855,10,6
bias,oDel,0.007246408949251874,10,6
bias,cInfo,-0.01229705927566092,10,6
drift,0,-0.1644837355758939,10,1
drift,oDel,0.041115363960118806,10,1
drift,cInfo,-0.17757461049373607,10,1
thresh,0,1.0359913570563726,10,1
thresh,oDel,-6.909704452056175e-4,10,1
thresh,cInfo,-0.03425359539978178,10,1
bias,0,-0.10797213769067127,10,1
bias,oDel,0.005530281871987705,10,1
