DDM,EXP,val,subj_idx,gLen
drift,0,-0.49579193279222644,10,6
drift,oDel,0.02679488256951342,10,6
drift,cInfo,-0.26140098637309545,10,6
thresh,0,0.8802384054800262,10,6
thresh,oDel,4.85741791186914e-4,10,6
thresh,cInfo,0.12375540103889751,10,6
bias,0,-0.020974934402376855,10,6
bias,oDel,0.007246408949251874,10,6
bias,cInfo,-0.01229705927566092,10,6
drift,0,-0.1644837355758939,10,1
drift,oDel,0.041115363960118806,10,1
drift,cInfo,-0.17757461049373607,10,1
thresh,0,1.0359913570563726,10,1
thresh,oDel,-6.909704452056175e-4,10,1
thresh,cInfo,-0.03425359539978178,10,1
bias,0,-0.10797213769067127,10,1
bias,oDel,0.005530281871987705,10,1
bias,cInfo,-0.1308813290085133,10,1
drift,0,0.018725671751749832,11,6
drift,oDel,0.031883110499514956,11,6
drift,cInfo,-0.41549871169800107,11,6
thresh,0,0.686241988777614,11,6
thresh,oDel,-0.0012178764078692274,11,6
thresh,cInfo,-0.04371933469271894,11,6
bias,0,0.04875581326203271,11,6
bias,oDel,0.0047768738008594986,11,6
bias,cInfo,-0.00848652725014906,11,6
drift,0,0.1736725123347614,11,1
drift,oDel,0.0524756612674252,11,1
drift,cInfo,-0.11956213266912831,11,1
thresh,0,0.8927595504625322,11,1
thresh,oDel,0.003158813241420735,11,1
thresh,cInfo,-0.020859557631104562,11,1
bias,0,-8.7917269784904e-4,11,1
bias,oDel,0.019533183307155408,11,1
bias,cInfo,-0.03085894931684076,11,1
drift,0,-0.41552562126584536,12,6
drift,oDel,0.07189942626016176,12,6
drift,cInfo,-0.30372600859578885,12,6
thresh,0,0.7222529626306178,12,6
thresh,oDel,6.175038275170874e-4,12,6
thresh,cInfo,0.05465934994491465,12,6
bias,0,0.08781881166119865,12,6
bias,oDel,0.02141190667225203,12,6
bias,cInfo,0.10308621979910824,12,6
drift,0,-0.05193168504492658,12,1
drift,oDel,0.11401546150877885,12,1
drift,cInfo,0.6725830432460003,12,1
thresh,0,0.7983065528425038,12,1
thresh,oDel,0.0015073830628011338,12,1
thresh,cInfo,0.031951980081140925,12,1
bias,0,0.038981383781888757,12,1
bias,oDel,0.022103131443310664,12,1
bias,cInfo,-0.07555549882096035,12,1
drift,0,-0.09245862381460997,14,6
drift,oDel,0.04353003977909648,14,6
drift,cInfo,-0.10074616798998566,14,6
thresh,0,0.872010209376678,14,6
thresh,oDel,-4.224965352408024e-4,14,6
thresh,cInfo,0.0034980999800720562,14,6
bias,0,-0.07952804386820744,14,6
bias,oDel,-0.013651315317271241,14,6
bias,cInfo,0.32319309824053516,14,6
drift,0,0.03143407246478825,14,1
drift,oDel,0.04969410625095671,14,1
drift,cInfo,0.13749476981843864,14,1
thresh,0,0.9413055334835161,14,1
thresh,oDel,-0.0036199136645944673,14,1
thresh,cInfo,-0.0030520872670496036,14,1
bias,0,0.09663308682633887,14,1
bias,oDel,0.0017796296097712012,14,1
bias,cInfo,-0.09921273647428852,14,1
drift,0,0.014126855384120725,15,6
drift,oDel,0.10551845314950477,15,6
drift,cInfo,-0.33784555708006847,15,6
thresh,0,0.8256449157212546,15,6
thresh,oDel,0.0018828794552779458,15,6
thresh,cInfo,-0.02660108527442101,15,6
bias,0,-0.023647191088670194,15,6
bias,oDel,0.0021733592180996483,15,6
bias,cInfo,0.08380812464923602,15,6
drift,0,-0.16747139239489195,15,1
drift,oDel,0.13275392006842723,15,1
drift,cInfo,0.4512980286865314,15,1
thresh,0,0.7899936762929719,15,1
thresh,oDel,-0.0018715124972368152,15,1
thresh,cInfo,0.006956229243964445,15,1
bias,0,0.02502016232556381,15,1
bias,oDel,0.004135559430848625,15,1
bias,cInfo,-0.11138272944291341,15,1
drift,0,-0.0807392540537615,16,6
drift,oDel,0.029346539280872126,16,6
drift,cInfo,-0.09311534457377035,16,6
thresh,0,0.9223015004249658,16,6
thresh,oDel,-0.001651483325254586,16,6
thresh,cInfo,-0.010640714880186464,16,6
bias,0,-0.007648279192328522,16,6
bias,oDel,-0.004287763760716072,16,6
bias,cInfo,0.09109181169980081,16,6
drift,0,-0.08588505399561167,16,1
drift,oDel,0.047824956784284306,16,1
drift,cInfo,-0.015555443891320232,16,1
thresh,0,0.8073861772001837,16,1
thresh,oDel,-0.0029486896442229254,16,1
thresh,cInfo,0.003036289985530439,16,1
bias,0,-0.009994057926480227,16,1
bias,oDel,0.010474208359167958,16,1
bias,cInfo,0.040411479621506895,16,1
drift,0,0.1964977131986529,18,6
drift,oDel,0.025597201802223347,18,6
drift,cInfo,-0.5188376180789328,18,6
thresh,0,0.6729206362952823,18,6
thresh,oDel,2.847330692655222e-4,18,6
thresh,cInfo,-0.0262398069612893,18,6
bias,0,0.09157963962264881,18,6
bias,oDel,0.017832230043317746,18,6
bias,cInfo,0.15822290991953858,18,6
drift,0,0.07450970871325298,18,1
drift,oDel,0.08254382434912684,18,1
drift,cInfo,0.5147635871955694,18,1
thresh,0,0.8022196555682884,18,1
thresh,oDel,-0.0017241223670725655,18,1
thresh,cInfo,-0.06506667259189054,18,1
bias,0,0.051828034343819995,18,1
bias,oDel,0.01750021337487181,18,1
bias,cInfo,-0.30680602266058876,18,1
drift,0,-0.13183446614974353,19,6
drift,oDel,0.04165908072152408,19,6
drift,cInfo,-0.23721915263122556,19,6
thresh,0,1.0026819774730182,19,6
thresh,oDel,0.001336236582431034,19,6
thresh,cInfo,0.015531372143160211,19,6
bias,0,-0.1057622940667029,19,6
bias,oDel,0.010623658378203176,19,6
bias,cInfo,-0.2484054833267813,19,6
drift,0,0.11010448234688905,19,1
drift,oDel,0.07355034313155667,19,1
drift,cInfo,-0.0052715627632634685,19,1
thresh,0,1.1188572178959468,19,1
thresh,oDel,0.0016963294683278824,19,1
