param,val,subj_idx,gLen
t,0.03378939935439434,10,6
t,0.043077832946624865,10,1
t,0.0265620386199668,12,6
t,0.03711866783207009,12,1
t,0.03053890979190638,14,6
t,0.0506179209717933,14,1
t,0.07955950677707635,15,6
t,0.05582024587674986,15,1
t,0.03397737477799792,16,6
t,0.02451554076537464,16,1
t,0.04157454857695126,18,6
t,0.037088004391757974,18,1
t,0.02525233681732318,19,6
t,0.02210219513159122,19,1
t,0.026769770789554857,20,6
t,0.025508809954441235,20,1
t,0.023135706196431387,22,6
t,0.03223829810543213,22,1
t,0.029880758916423052,23,6
t,0.05589534550331148,23,1
t,0.11725774547331444,25,6
t,0.05813007290192283,25,1
t,0.03472684854989161,26,6
t,0.022795006220523186,26,1
t,0.04476293881184011,27,6
t,0.037123072436435825,27,1
t,0.0578150963307533,28,6
t,0.07479660843631458,28,1
t,0.040299748676581516,2,6
t,0.0778022649559533,2,1
t,0.03614205641072863,30,6
t,0.033466421057076215,30,1
t,0.09600732709953791,31,6
t,0.04437776765891806,31,1
t,0.029152690278394143,39,6
t,0.031042418825015117,39,1
t,0.027498633375150325,3,6
t,0.024526380218710286,3,1
t,0.0472294150917413,40,6
t,0.06259201935727782,40,1
t,0.028300834724309942,41,6
t,0.02555379666912123,41,1
t,0.12740558097002957,42,6
t,0.12827266342213964,42,1
t,0.027197650563446762,43,6
t,0.033354417294454645,43,1
t,0.04322697840548722,45,6
t,0.04707466054618508,45,1
t,0.052430553075382066,46,6
t,0.04094250411623079,46,1
t,0.060372202127600756,48,6
t,0.028499228265602413,48,1
t,0.07678946779422406,49,6
t,0.043533746198757946,49,1
t,0.060401696678234314,50,6
t,0.06107425153823432,50,1
t,0.033395440848876204,51,6
t,0.042339855905993797,51,1
t,0.0375253573118445,52,6
t,0.032000566837688205,52,1
t,0.028530443151263164,53,6
t,0.04699428790801336,53,1
t,0.038115620876801024,54,6
t,0.04070990650681927,54,1
t,0.03135506795996751,55,6
t,0.031270668687587655,55,1
t,0.057384301666405235,57,6
t,0.030195641148225573,57,1
t,0.05721743802754181,58,6
t,0.04916993810916585,58,1
t,0.03926914960791028,59,6
t,0.02436456433664263,59,1
t,0.029098699356376736,60,6
t,0.023017315921734827,60,1
t,0.03147411418954981,62,6
t,0.038872721239880094,62,1
t,0.03773663339063376,63,6
t,0.031620368579224775,63,1
t,0.034722338703015485,64,6
t,0.02358329231681393,64,1
t,0.041946749851531746,65,6
t,0.0360432210797565,65,1
t,0.04427471814793191,66,6
t,0.05213883216049155,66,1
t,0.06681518824852495,67,6
t,0.07703349620303435,67,1
t,0.04098870929481595,7,6
t,0.038021383945916296,7,1
t,0.03424963831090618,8,6
t,0.0353081490201709,8,1
t,0.052417546855822644,9,6
t,0.02958163763199307,9,1
