DDM,EXP,val,subj_idx,gLen
drift,0,1.4820112230663556,10,6
drift,oDel,-0.006397318074823639,10,6
drift,cInfo,-0.0654886045265922,10,6
thresh,0,1.1971118723704182,10,6
thresh,oDel,0.006429068791320291,10,6
thresh,cInfo,-0.0770961068478402,10,6
bias,0,0.22108698699423557,10,6
bias,oDel,0.00544627753876006,10,6
bias,cInfo,0.19009779293988158,10,6
drift,0,1.3913340934306029,10,1
drift,oDel,-0.0014235642922146416,10,1
drift,cInfo,0.30767582627305007,10,1
thresh,0,1.3459489523200685,10,1
thresh,oDel,-0.00783191269337145,10,1
thresh,cInfo,-0.0786406554981008,10,1
bias,0,0.2190828253692444,10,1
bias,oDel,-0.00961211080415174,10,1
bias,cInfo,-0.5458514228719346,10,1
drift,0,1.9605092161955464,12,6
drift,oDel,-0.01213140309984584,12,6
drift,cInfo,0.33609884975421306,12,6
thresh,0,1.0868163012267844,12,6
thresh,oDel,0.017560187650215695,12,6
thresh,cInfo,-0.006607051317878907,12,6
bias,0,0.2390644371032924,12,6
bias,oDel,0.0352312658461954,12,6
bias,cInfo,1.5649026221044066e-4,12,6
drift,0,1.8419193561987772,12,1
drift,oDel,0.016839925473030468,12,1
drift,cInfo,0.006834225877089859,12,1
thresh,0,1.0372993747012458,12,1
thresh,oDel,-0.015723535385840814,12,1
thresh,cInfo,0.0632302048875106,12,1
bias,0,0.24519978120419672,12,1
bias,oDel,-0.03545235353602951,12,1
bias,cInfo,0.16620843996299905,12,1
drift,0,1.7877373616566912,14,6
drift,oDel,-0.004113846577827149,14,6
drift,cInfo,-0.02218153356674144,14,6
thresh,0,1.2210777010899911,14,6
thresh,oDel,-2.9169620910139406e-4,14,6
thresh,cInfo,-0.02615191891706705,14,6
bias,0,0.1345326545646911,14,6
bias,oDel,0.003982130485397594,14,6
bias,cInfo,0.15554158056932135,14,6
drift,0,1.6186185178060426,14,1
drift,oDel,-0.009048184358249948,14,1
drift,cInfo,0.12927518469778265,14,1
thresh,0,1.1869193571037242,14,1
thresh,oDel,0.002726390581880245,14,1
thresh,cInfo,0.019288493478147203,14,1
bias,0,0.20616433691164315,14,1
bias,oDel,0.01238780685946557,14,1
bias,cInfo,-0.04641702708140132,14,1
drift,0,1.9714467312806931,15,6
drift,oDel,0.0028367587628566875,15,6
